PolicyID,ClaimAmount
33,302
41,2001
92,1449
96,946
96,9924
142,1390
182,1418
377,747
378,3332
401,2956
436,471
438,73
467,1440
467,395
494,576
500,3409
520,594
580,6518
596,1274
615,936
643,644
643,8461
723,990
760,1129
766,1107
909,1344
944,397
948,538
948,934
956,508
1048,1768
1059,584
1135,1458
1188,556
1188,31889
1343,685
1392,76
1408,2040
1432,890
1454,89
1526,91
1526,1153
1603,593
1634,74
1689,634
1965,1024
1983,1163
2069,363
2160,6103
2286,1147
2310,93
2375,1163
2420,3602
2426,1159
2426,90
2434,1028
2435,1138
2453,1038
2455,1152
2461,78
2493,1048
2510,1143
2527,98
2569,1504
2575,808
2579,1134
2657,1119
2687,314
2728,1697
2772,1141
2774,491
2787,69024
2790,1110
2845,112
2887,683
2923,1116
2936,241
2939,1141
2964,5522
2980,3742
2988,24789
3047,2428
3105,61
3121,10
3137,1093
3161,1174
3228,1132
3228,1136
3237,1311
3250,1167
3258,394
3278,7
3292,1109
3293,7119
3298,720
3305,232
3329,66376
3334,778
3392,968
3437,1061
3445,4871
3445,5972
3457,770
3487,1260
3508,2314
3518,1103
3530,60
3553,1087
3600,1121
3611,1171
3652,1117
3667,257
3691,1170
3735,1301
3750,537
3757,1122
3762,30673
3764,1128
3764,1137
3802,1071
3819,4844
3825,195
3853,513
3881,1192
3959,1110
3968,389
3970,1113
4006,796
4038,2274
4057,2738
4063,889
4085,1164
4166,1102
4180,1069
4185,1115
4191,1135
4231,1128
4239,3184
4260,1159
4262,573
4273,750
4313,576
4318,208
4329,1129
4333,1683
4374,10463
4385,164
4415,1108
4423,1162
4426,1130
4450,1207
4490,1163
4503,1098
4514,127
4545,1117
4562,80
4596,1140
4624,1047
4636,3437
4641,387
4671,70
4686,1088
4700,1240
4702,1083
4732,1059
4749,72
4765,1177
4821,1344
4841,1083
4848,1922
4850,81
4873,2827
4928,134
5005,1173
5028,69
5044,3869
5048,1127
5053,425
5070,1074
5086,582
5122,1081
5133,321
5140,279
5140,1163
5146,91
5157,1127
5166,1113
5201,64
5245,41
5250,1115
5267,2588
5279,1147
5288,7688
5290,1157
5293,1138
5306,1180
5320,2925
5334,75
5340,7833
5374,1439
5375,1097
5429,1150
5436,368
5448,1079
5486,851
5488,423
5510,4886
5531,1413
5534,666
5559,1351
5580,565
5583,86
5600,2148
5615,1157
5630,942
5702,1441
5716,1857
5739,51
5752,1082
5764,7001
5785,1132
5827,61
5933,63
5938,151
6016,696
6022,351
6043,1131
6043,1084
6066,26929
6080,287
6110,423
6205,1077
6254,1159
6270,4810
6301,79
6307,1016
6319,602
6319,2699
6383,1147
6437,1410
6445,1125
6450,2047
6454,1078
6454,1099
6463,498
6467,1729
6472,351
6494,681
6503,1158
6513,539
6517,402
6526,1232
6530,240
6533,1134
6543,1100
6545,106
6661,1189
6705,1127
6711,1158
6740,580
6778,984
6781,1211
6786,1098
6813,237
6834,160
6872,1662
6885,1109
6917,1114
6937,1103
6953,1126
6973,1132
6984,1116
7004,1189
7063,117
7076,1155
7109,41
7149,97
7165,308
7212,4506
7224,2409
7228,559
7256,1122
7331,2449
7357,3368
7358,1812
7365,5846
7369,1096
7377,1106
7400,1127
7446,1098
7483,1156
7497,2688
7547,1182
7575,1110
7598,1136
7612,51
7629,1085
7658,1113
7670,3769
7672,341
7681,1096
7722,1460
7745,1136
7750,1099
7760,545
7797,1377
7800,162
7808,1061
7839,1204
7886,61
7908,115511
7916,1093
7962,1181
8009,1221
8027,1110
8081,258
8085,170
8107,686
8144,732
8150,1161
8159,1115
8171,556
8173,304
8176,252
8226,1747
8226,344
8241,890
8248,1101
8292,89
8297,1140
8305,17
8324,1071
8329,1076
8352,1155
8363,1030
8377,4353
8390,91
8402,1095
8402,1111
8459,1106
8471,1207
8477,202
8508,946
8508,284
8511,411
8519,1111
8574,1926
8591,1163
8626,1185
8633,1432
8658,261
8670,1144
8691,1107
8737,1104
8738,943
8741,1154
8780,1151
8805,1538
8825,1164
8828,567
8835,1193
8841,901
8853,1157
8872,1117
8874,547
8901,1141
8968,1436
8984,3178
8989,1128
8998,1851
8999,2006
9009,116379
9013,1069
9124,1153
9150,1158
9156,1413
9174,1380
9185,4307
9193,1190
9208,15342
9222,255
9225,2728
9233,1181
9240,2549
9274,499
9275,1089
9276,1129
9311,1094
9323,1114
9327,531
9331,1079
9332,3703
9339,1147
9342,2157
9367,1074
9384,1157
9385,1080
9440,1080
9468,1045
9486,134
9488,3210
9505,1152
9517,1147
9572,395
9615,1332
9648,92
9649,1158
9656,1150
9710,2027
9717,617
9725,78
9759,2771
9764,1130
9768,297
9779,8421
9798,4502
9817,33
9839,1197
9854,1107
9869,322
9886,1114
9903,1125
9932,589
9949,1109
9960,328
9962,1133
9966,1137
9977,3895
9996,1292
10016,1145
10029,1821
10048,101
10063,218
10065,1113
10093,1099
10117,1647
10119,861
10147,379
10163,1119
10182,1086
10201,285
10208,2203
10255,928
10277,1084
10306,88
10311,630
10314,1090
10317,1176
10332,1142
10351,1137
10373,1064
10393,58
10420,1122
10510,1147
10512,86
10549,2036
10556,797
10592,2240
10593,4675
10711,1144
10775,351
10776,1177
10779,1652
10784,1730
10786,335
10796,143
10852,1132
10946,1165
10947,1169
10972,1729
10984,1096
10987,1400
10992,1125
11022,1172
11022,68
11024,2126
11030,1755
11037,1214
11057,1110
11069,1149
11073,547
11116,1104
11127,1130
11165,172
11168,3507
11177,61
11187,182
11191,1130
11229,1100
11242,1471
11314,1101
11315,1547
11351,1143
11357,1085
11367,1007
11374,1116
11379,1107
11389,36
11407,1134
11413,1136
11421,4611
11421,1119
11430,1109
11436,1108
11440,1182
11441,835
11455,87
11467,1122
11470,1127
11471,2618
11562,195
11567,1164
11567,2801
11572,1104
11610,4201
11651,2113
11662,434
11669,1884
11717,93
11722,2283
11750,170
11753,252
11783,1077
11805,2580
11819,85
11873,1137
11922,447
11963,408
11982,1482
11984,418
12008,1065
12011,1130
12045,525
12053,2469
12077,1169
12124,1149
12179,8250
12180,1099
12194,2058
12207,489
12217,78
12221,1153
12235,80
12296,467
12302,357
12304,1126
12305,1459
12309,1168
12319,6088
12328,1101
12353,1107
12389,1110
12402,84
12419,1097
12429,270
12472,125
12472,1116
12476,799
12496,186
12514,1150
12547,78
12567,5182
12572,1109
12573,221
12579,2698
12589,915
12592,1003
12610,1098
12612,1142
12642,1119
12663,575
12668,743
12678,1083
12686,2653
12687,1148
12688,849
12688,936
12713,401
12737,75
12757,1642
12769,190
12780,1695
12821,544
12826,1096
12830,2373
12874,758
12884,442
12885,1144
12899,1093
12907,1152
12917,369
12926,1740
12926,64
12979,1124
13023,1144
13028,1046
13031,1126
13037,359
13062,1104
13095,1114
13096,1127
13104,509
13118,67
13133,1080
13154,1096
13160,982
13162,577
13164,1125
13168,3136
13172,58
13181,1154
13182,3472
13187,83
13191,394
13214,476
13214,1050
13240,2583
13283,4021
13296,580
13315,1131
13318,184
13326,1156
13348,1122
13350,1111
13375,495
13416,1120
13424,1243
13429,1137
13443,294
13459,1194
13463,80
13478,1218
13534,1092
13575,982
13587,3193
13590,15
13594,1064
13599,193
13602,64
13630,1269
13634,1020
13679,319
13722,841
13757,1175
13784,487
13786,862
13811,1090
13822,664
13823,2123
13832,137
13848,1094
13851,1166
13856,1134
13865,3875
13868,2930
13870,586
13880,1084
13886,3544
13895,725
13903,1113
13938,1078
13947,470
13948,1163
13962,1196
13965,1113
13974,3789
13991,1132
13992,269
14027,431
14029,1106
14078,96906
14087,1220
14090,201
14093,1091
14098,1161
14176,1089
14193,1125
14195,1086
14238,1261
14252,452
14338,2281
14344,1201
14349,1100
14354,1090
14367,148
14384,1146
14411,1144
14428,1144
14443,199
14472,1072
14473,75
14496,1163
14502,32
14535,6431
14556,1111
14579,1173
14598,1174
14602,2233
14608,103
14614,1109
14620,1116
14621,1157
14622,2082
14638,1089
14669,1125
14681,1128
14688,807
14697,1144
14790,1067
14800,1158
14842,95
14906,3643
14921,1096
14923,1186
14943,1133
14964,39
14984,1182
14995,1089
15009,5
15012,1143
15015,1600
15027,1122
15061,1118
15067,730
15078,5554
15082,92
15103,678
15126,86
15126,1160
15126,1200
15207,1108
15213,267
15227,46
15255,1092
15269,4416
15283,176
15305,1494
15345,1213
15358,588
15361,3740
15365,162
15379,4228
15380,4990
15399,10370
15399,1105
15411,16070
15425,367
15450,1535
15476,62
15480,1125
15484,1106
15511,1103
15538,1089
15539,1079
15545,527
15577,1088
15590,1025
15606,1116
15637,17565
15641,1164
15642,1178
15719,1182
15731,63
15741,1161
15747,1124
15751,1127
15751,73
15752,74
15775,1085
15794,4284
15814,1070
15832,3454
15839,538
15841,720
15857,1636
15870,1117
15888,1146
15893,84
15922,25
15953,1131
15962,478
15985,1105
16018,1125
16020,1136
16036,1153
16070,1171
16097,1171
16130,1679
16137,1097
16156,4257
16189,1216
16215,1099
16298,3674
16311,1136
16313,1119
16313,481
16328,63
16348,1559
16374,430
16381,40
16399,1348
16399,662
16406,1101
16413,77
16417,210
16440,45
16452,2590
16452,459
16457,1272
16460,3242
16476,77
16489,1130
16491,98
16494,1088
16506,1117
16521,1171
16531,8331
16538,1081
16541,1163
16601,131
16629,1774
16639,1127
16676,1822
16678,1203
16686,1121
16706,696
16739,3840
16845,1950
16875,1106
16886,1583
16904,56
16916,553
16919,1122
16920,1144
16952,939
17017,1124
17055,1180
17058,4242
17066,1138
17086,1894
17093,467
17132,190
17162,2306
17195,84
17207,1317
17218,70
17226,1144
17233,10783
17245,1818
17251,506
17257,1118
17334,3747
17342,293
17383,1195
17416,454
17440,222
17454,1168
17471,1117
17548,440
17578,1096
17628,4608
17630,1113
17637,1125
17649,543
17652,1065
17658,68
17667,1302
17677,1115
17714,2287
17729,1156
17736,1204
17759,2128
17762,1044
17763,1183
17804,1095
17917,320
17932,2368
17955,1150
17958,1236
17966,1152
18019,182467
18024,82
18044,739
18045,35431
18061,1066
18064,665
18086,417
18086,1155
18086,2129
18086,1110
18093,1225
18135,1025
18137,81
18145,1151
18166,1081
18167,2185
18191,4676
18224,967
18227,1139
18234,1114
18255,81
18262,738
18275,1583
18281,3078
18333,1710
18358,1227
18370,1718
18412,6914
18424,1517
18434,1165
18434,600
18484,2712
18485,1147
18520,1125
18545,700
18598,4096
18605,3143
18608,2251
18621,1680
18686,1189
18724,30
18732,7285
18736,1145
18740,3133
18746,1156
18766,266
18771,1140
18825,1149
18841,60
18877,1113
18897,1092
18903,197
18904,1046
18930,889
18931,93
18934,1205
18941,1117
18950,192
18960,1868
18969,72
18976,1103
18977,123
18978,869
19013,581
19027,1120
19031,55
19054,566
19100,1142
19128,3774
19132,1413
19154,1138
19203,1173
19209,1087
19315,1608
19322,2430
19324,99
19329,614
19329,631
19383,3093
19389,1082
19390,1139
19390,1177
19398,1190
19414,1156
19416,1085
19423,1107
19431,1160
19476,13909
19483,1147
19483,1110
19499,105
19503,2306
19504,575
19507,1125
19519,598
19544,641
19589,534
19618,891
19633,1151
19647,128
19650,1116
19690,1180
19692,2131
19695,1141
19708,1125
19719,1045
19771,1517
19789,891
19795,1107
19795,1089
19805,299
19821,3412
19828,1209
19857,681
19864,549
19969,1189
19975,565
20011,1193
20021,1132
20025,136
20042,1512
20056,1131
20069,1354
20135,1156
20150,1825
20159,26331
20176,1148
20212,526
20229,94
20235,1138
20253,240
20270,1081
20273,1133
20274,1119
20275,1234
20275,1260
20299,1417
20310,994
20315,544
20325,777
20344,1324
20381,1122
20382,6240
20388,1098
20418,9
20423,1107
20427,1010
20432,1604
20480,887
20488,261
20536,1295
20536,1147
20540,1249
20545,1105
20551,2327
20591,791
20594,703
20606,1139
20623,254
20624,977
20650,6095
20684,572
20692,450
20735,1150
20781,77
20792,1143
20795,473
20798,1119
20808,162
20823,1140
20823,173
20834,41
20844,772
20912,1089
20935,1642
20939,1164
20941,1124
